cluster_id,cluster_name,cluster_size,silhouette,verdict,confidence,topic,reason
-1,NOISE / Unclustered,833,N/A,N/A,,Noise / unclustered,Skipped
0,Bitcoin Price,5,0.8602,YES,0.95,The cluster is about the daily price changes of Bitcoin.,All headlines consistently report on the price movements of Bitcoin on specific dates.
1,Allbirds Transformation,2,0.4102,PARTIAL,0.8,The cluster discusses Allbirds' recent business transformations and its relationship with AI technology.,"While both headlines relate to Allbirds and its pivot to AI, the second headline focuses on the stock performance rather than the transformation itself, making it feel slightly out of place."
2,Bitcoin Selling Pressure,2,0.567,YES,0.95,The cluster is about the selling pressure and profit-taking behavior of Bitcoin traders following a price rally.,"Both headlines discuss Bitcoin's price movement and the implications of selling pressure, making them clearly related to the topic of Bitcoin selling pressure."
3,Hormuz Tension,2,0.3751,YES,0.95,The cluster is about tensions and incidents involving Chinese tankers in the Strait of Hormuz amid US sanctions and blockades.,"Both headlines focus on the actions of a Chinese tanker in relation to US sanctions and the strategic location of Hormuz, making them clearly related."
4,China's Oil Hoarding,2,0.3922,PARTIAL,0.7,The cluster is primarily about China's oil policies and international relations regarding oil supply.,"While the first headline directly addresses China's oil hoarding, the second headline discusses China's reliability as a global partner, which is less focused on oil specifically."
5,Energy Crisis,4,0.1781,PARTIAL,0.8,The cluster primarily discusses geopolitical tensions and their implications for energy security in the context of the Strait of Hormuz.,"While most headlines relate to the energy crisis and geopolitical maneuvers in the Persian Gulf, the first headline about Iran's military capabilities feels slightly out of place as it focuses more on military strategy than energy issues."
6,Gold Prices,7,0.6609,YES,0.95,The cluster is about the daily prices of gold in Thailand.,"All headlines consistently report on the fluctuations in gold prices, indicating a clear focus on the topic of gold prices."
7,Drought Crisis,2,0.8295,YES,0.95,The cluster is about the drought crisis in Thailand and the current water availability in different regions.,"Both headlines discuss the risk of drought in Thailand and provide statistics on water availability, indicating they are clearly related to the same topic."
8,Asian AI Stocks,2,0.3219,YES,0.95,The cluster focuses on the performance and implications of AI-related stocks in Asian markets.,"Both headlines discuss the impact of AI on Asian stocks, indicating a clear connection to the topic of Asian AI stocks."
9,New Tires,2,0.6614,YES,0.95,The cluster is about new tire models and their performance testing.,"Both headlines focus on the introduction and testing of new tire models by Continental, making them clearly related to the topic of new tires."
10,Global Trade,2,0.5242,YES,0.95,The cluster focuses on the impact of tariffs and trade policies on global trade dynamics.,"Both headlines discuss the effects of Donald Trump's trade policies on global trade, making them relevant to the cluster."
11,Economic Risks,2,0.5871,YES,0.95,The cluster focuses on economic risks highlighted by JPMorgan's CEO in relation to various factors affecting the economy.,"Both headlines discuss economic risks as identified by JPMorgan's CEO, making them clearly related to the same topic."
