cluster_id,cluster_name,cluster_size,per_cluster_silhouette,sample_rank,headline,summary,source,published,judge_coherent,judge_notes
-1,NOISE / Unclustered,833,N/A,1,"Despite double dissent, Jerome Powell retains his hold on markets",A hawkish tilt changes rate-cut expectations,The Economist,"Wed, 30 Jul 2025 22:28:38 +0000",N/A,Skipped — noise cluster
-1,NOISE / Unclustered,833,N/A,2,India’s IPO boom is good news for its economy,Stockmarkets appear to be fuelling investment,The Economist,"Wed, 29 Oct 2025 21:13:30 +0000",N/A,Skipped — noise cluster
-1,NOISE / Unclustered,833,N/A,3,A letter to investors from the White House Opportunities Fund,How the shift to state capitalism is panning out for America LLC,The Economist,"Wed, 29 Oct 2025 19:44:08 +0000",N/A,Skipped — noise cluster
-1,NOISE / Unclustered,833,N/A,4,Just how debased is the dollar?,Not nearly as much as it could be,The Economist,"Wed, 28 Jan 2026 23:18:33 +0000",N/A,Skipped — noise cluster
-1,NOISE / Unclustered,833,N/A,5,Assessing the case against Lisa Cook,"How strong is the evidence, and how bad would it be if the claims were true?",The Economist,"Wed, 27 Aug 2025 19:35:33 +0000",N/A,Skipped — noise cluster
0,Bitcoin Price,5,0.8602,1,"ราคาบิตคอยน์วันนี้ (16 เม.ย. 69) ขยับขึ้น 0.64% อยู่ที่ 74,676 เหรียญสหรัฐ","<p>ราคาบิตคอยน์วันนี้ (16 เม.ย. 69) ขยับขึ้น 0.64% ในช่วง  [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1993286"" rel=""nofollow"">ราคาบิตคอยน์วันนี้ (16 เม.ย. 69) ขยับขึ้น 0.64% อยู่ที่ 74,676 เหรียญสหรัฐ</a></p>",Prachachat,"Wed, 15 Apr 2026 23:56:19 +0000",YES,All headlines consistently report on the price movements of Bitcoin on specific dates.
0,Bitcoin Price,5,0.8602,2,"ราคาบิตคอยน์วันนี้ (12 เม.ย. 69) ขยับขึ้น 0.16% อยู่ที่ 73,039 เหรียญสหรัฐ","<p>ราคาบิตคอยน์วันนี้ (12 เม.ย. 69) ขยับขึ้น 0.16% ในช่วงเ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1992433"" rel=""nofollow"">ราคาบิตคอยน์วันนี้ (12 เม.ย. 69) ขยับขึ้น 0.16% อยู่ที่ 73,039 เหรียญสหรัฐ</a></p>",Prachachat,"Sun, 12 Apr 2026 00:56:54 +0000",YES,All headlines consistently report on the price movements of Bitcoin on specific dates.
0,Bitcoin Price,5,0.8602,3,"ราคาบิตคอยน์วันนี้ (11 เม.ย. 69) ขยับขึ้น 1.77% อยู่ที่ 72,899 เหรียญสหรัฐ","<p>ราคาบิตคอยน์ประจำวันนี้ (11 เม.ย. 69) ขยับขึ้น 1.77% เม [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1992200"" rel=""nofollow"">ราคาบิตคอยน์วันนี้ (11 เม.ย. 69) ขยับขึ้น 1.77% อยู่ที่ 72,899 เหรียญสหรัฐ</a></p>",Prachachat,"Sat, 11 Apr 2026 00:40:22 +0000",YES,All headlines consistently report on the price movements of Bitcoin on specific dates.
0,Bitcoin Price,5,0.8602,4,"ราคาบิตคอยน์วันนี้ (14 เม.ย. 69) ดีดขึ้น 5.78% อยู่ที่ 74,635 เหรียญสหรัฐ","<p>ผู้สื่อข่าวรายงานว่า ราคาบิตคอยน์วันนี้ (14 เม.ย. 69) ป [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1992854"" rel=""nofollow"">ราคาบิตคอยน์วันนี้ (14 เม.ย. 69) ดีดขึ้น 5.78% อยู่ที่ 74,635 เหรียญสหรัฐ</a></p>",Prachachat,"Mon, 13 Apr 2026 23:50:15 +0000",YES,All headlines consistently report on the price movements of Bitcoin on specific dates.
0,Bitcoin Price,5,0.8602,5,"ราคาบิตคอยน์วันนี้ (13 เม.ย. 69) ปรับลง 3.3% อยู่ที่ 70,691 เหรียญสหรัฐ","<p>ราคาบิตคอยน์ประจำวันนี้ (13 เม.ย. 69) ปรับลง -3.3% ในช่ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1992663"" rel=""nofollow"">ราคาบิตคอยน์วันนี้ (13 เม.ย. 69) ปรับลง 3.3% อยู่ที่ 70,691 เหรียญสหรัฐ</a></p>",Prachachat,"Mon, 13 Apr 2026 00:03:02 +0000",YES,All headlines consistently report on the price movements of Bitcoin on specific dates.
1,Allbirds Transformation,2,0.4102,1,"Struggling shoe retailer Allbirds makes bizarre pivot to AI, adds $127 million in value",Allbirds announced a deal with American Exchange Group to sell its intellectual property and other assets for $39 million in March.,CNBC Top News,"Wed, 15 Apr 2026 22:41:59 GMT",PARTIAL,"While both headlines relate to Allbirds and its pivot to AI, the second headline focuses on the stock performance rather than the transformation itself, making it feel slightly out of place."
1,Allbirds Transformation,2,0.4102,2,Allbirds Shares Sink as 582% AI Surge Comes to Screeching Halt,Allbirds Inc.’s surprising pivot from wool sneakers to artificial intelligence infrastructure is looking more like a flash in the pan for the stock than a driver of long-term gains.,Bloomberg Markets,"Thu, 16 Apr 2026 14:12:04 GMT",PARTIAL,"While both headlines relate to Allbirds and its pivot to AI, the second headline focuses on the stock performance rather than the transformation itself, making it feel slightly out of place."
2,Bitcoin Selling Pressure,2,0.567,1,Bitcoin traders cash out 63K BTC profit as price rallied above $76K: Will the market rebound?,"<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img alt=""Bitcoin traders cash out 63K BTC profit as price rallied above $76K: Will the market rebound?"" class=""type:primaryImage"" src=""https://images.cointelegraph.com/images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjYtMD",CoinTelegraph,"Wed, 15 Apr 2026 22:17:06 +0100",YES,"Both headlines discuss Bitcoin's price movement and the implications of selling pressure, making them clearly related to the topic of Bitcoin selling pressure."
2,Bitcoin Selling Pressure,2,0.567,2,Bitcoin hits ‘near-term selling pressure’ after rally to $76K: CryptoQuant,"<p style=""float: right; margin: 0 0 10px 15px; width: 240px;""><img alt=""Bitcoin hits ‘near-term selling pressure’ after rally to $76K: CryptoQuant"" class=""type:primaryImage"" src=""https://images.cointelegraph.com/images/528_aHR0cHM6Ly9zMy5jb2ludGVsZWdyYXBoLmNvbS91cGxvYWRzLzIwMjYtMDQvMDE5ZDk0NDktYTYzN",CoinTelegraph,"Thu, 16 Apr 2026 04:42:37 +0100",YES,"Both headlines discuss Bitcoin's price movement and the implications of selling pressure, making them clearly related to the topic of Bitcoin selling pressure."
3,Hormuz Tension,2,0.3751,1,Chinese tanker retreats twice from US’ Hormuz blockade in 48 hours,"A fully laden Chinese tanker has twice turned back from the US blockade of traffic leaving Iranian ports, despite setting off from the United Arab Emirates.
The incident highlights how Chinese commercial vessels are weighing up the risks posed by the naval blockade, with analysts saying no country’s",SCMP Asia,"Wed, 15 Apr 2026 13:53:28 +0000",YES,"Both headlines focus on the actions of a Chinese tanker in relation to US sanctions and the strategic location of Hormuz, making them clearly related."
3,Hormuz Tension,2,0.3751,2,US-sanctioned Chinese tanker returns to Hormuz hours after transit,US-sanctioned Chinese tanker returns to Hormuz hours after transit,Nikkei Asia,2026-04-16T22:13:47.568375,YES,"Both headlines focus on the actions of a Chinese tanker in relation to US sanctions and the strategic location of Hormuz, making them clearly related."
4,China's Oil Hoarding,2,0.3922,1,US officials claim China is ‘hoarding’ oil. What does the data say?,"Though high-level officials in Washington have accused China of undermining global energy security by “hoarding” oil during the US-Israeli war on Iran, import and inventory data suggest Beijing is facing its own supply pressures as the conflict drags on.
US Treasury Secretary Scott Bessent on Tuesda",SCMP Asia,"Wed, 15 Apr 2026 13:30:09 +0000",PARTIAL,"While the first headline directly addresses China's oil hoarding, the second headline discusses China's reliability as a global partner, which is less focused on oil specifically."
4,China's Oil Hoarding,2,0.3922,2,"Bessent Keeps Running Tally Of China As ""Unreliable Global Partner"" - Count Now Stands At Three","<span class=""field field--name-title field--type-string field--label-hidden"">Bessent Keeps Running Tally Of China As ""Unreliable Global Partner"" - Count Now Stands At Three</span>

            <div class=""clearfix text-formatted field field--name-body field--type-text-with-summary field--label-hidde",Zero Hedge,"Thu, 16 Apr 2026 01:20:00 +0000",PARTIAL,"While the first headline directly addresses China's oil hoarding, the second headline discusses China's reliability as a global partner, which is less focused on oil specifically."
5,Energy Crisis,4,0.1781,1,"Can Iran’s small, fast-attack boats challenge US Navy in Strait of Hormuz?","Iran’s small vessels may be able to challenge US blockade operations, Chinese analysts suggest, despite the heavy losses suffered by the Iranian navy during the opening weeks of the US-Israeli offensive.
The United States launched a naval blockade on Monday targeting Iranian maritime trade, after pe",SCMP Asia,"Wed, 15 Apr 2026 12:01:22 +0000",PARTIAL,"While most headlines relate to the energy crisis and geopolitical maneuvers in the Persian Gulf, the first headline about Iran's military capabilities feels slightly out of place as it focuses more on military strategy than energy issues."
5,Energy Crisis,4,0.1781,2,Which countries are most vulnerable as US imposes its own blockade in Persian Gulf?,"As the US imposes its own blockade on shipping through the Strait of Hormuz following the collapse of talks with Iran at the weekend, we take a look at how major economies in Asia and Europe could be affected by further restrictions on passage through one of the world’s most critical choke points fo",SCMP Asia,"Wed, 15 Apr 2026 00:00:17 +0000",PARTIAL,"While most headlines relate to the energy crisis and geopolitical maneuvers in the Persian Gulf, the first headline about Iran's military capabilities feels slightly out of place as it focuses more on military strategy than energy issues."
5,Energy Crisis,4,0.1781,3,Is the US trying to pressure China with Hormuz blockade?,"The US naval blockade of Iranian ports is not a tactic to force China to pressure Iran into a peace deal, according to analysts.
Rather, the US aimed to end the war through showing its maritime supremacy over the world’s most vital energy chokepoint, they argued.
Washington began to enforce the bloc",SCMP Asia,"Tue, 14 Apr 2026 22:00:08 +0000",PARTIAL,"While most headlines relate to the energy crisis and geopolitical maneuvers in the Persian Gulf, the first headline about Iran's military capabilities feels slightly out of place as it focuses more on military strategy than energy issues."
5,Energy Crisis,4,0.1781,4,Hormuz blockade could deepen world’s worst energy crisis — and risk a dangerous misstep,"The U.S. naval blockade of the Strait of Hormuz threatens to halt more tanker traffic, sending oil surging and risks drawing China into a widening confrontation with Washington.",CNBC Economy,"Mon, 13 Apr 2026 23:20:53 GMT",PARTIAL,"While most headlines relate to the energy crisis and geopolitical maneuvers in the Persian Gulf, the first headline about Iran's military capabilities feels slightly out of place as it focuses more on military strategy than energy issues."
6,Gold Prices,7,0.6609,1,"ราคาทองวันนี้ (15 เม.ย. 69) ปรับขึ้น 300 บาท ทองรูปพรรณบาทละ 73,700 บาท","<p>อัพเดตล่าสุด 15 เมษายน 2569 เวลา 16.50 น. ราคาทองวันนี้ [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1993043"" rel=""nofollow"">ราคาทองวันนี้ (15 เม.ย. 69) ปรับขึ้น 300 บาท ทองรูปพรรณบาทละ 73,700 บาท</a></p>",Prachachat,"Wed, 15 Apr 2026 10:32:12 +0000",YES,"All headlines consistently report on the fluctuations in gold prices, indicating a clear focus on the topic of gold prices."
6,Gold Prices,7,0.6609,2,"ราคาทองวันนี้ เปิดตลาดพุ่งแรง บวก 500 บาท รูปพรรณบาทละ 73,900 บาท",ราคาทองวันนี้ เปิดตลาดพุ่งแรง บวก 500 บาท รูปพรรณบาทละ  [&#8230;],Matichon Economy,"Wed, 15 Apr 2026 04:04:13 +0000",YES,"All headlines consistently report on the fluctuations in gold prices, indicating a clear focus on the topic of gold prices."
6,Gold Prices,7,0.6609,3,"ราคาทองวันนี้ (14 เม.ย. 69) ปรับขึ้น 600 บาท ทองรูปพรรณบาทละ 73,400 บาท","<p>ราคาทองวันนี้ (14 เมษายน 2569) ปรับขึ้น 500 บาท เมื่อเป [&#8230;]</p>
<p>อ่านข่าวต้นฉบับ: <a href=""https://www.prachachat.net/finance/news-1992867"" rel=""nofollow"">ราคาทองวันนี้ (14 เม.ย. 69) ปรับขึ้น 600 บาท ทองรูปพรรณบาทละ 73,400 บาท</a></p>",Prachachat,"Tue, 14 Apr 2026 11:31:22 +0000",YES,"All headlines consistently report on the fluctuations in gold prices, indicating a clear focus on the topic of gold prices."
